Unnamed: 0,Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C)
388,1670991627.766,49.5,10.9,0.0,97,60,69
389,1670991657.803,49.4,10.9,0.0,92,58,68
390,1670991687.852,50.8,10.9,0.0,95,65,70
391,1670991717.869,50.1,10.8,0.0,97,63,71
392,1670991747.903,49.5,10.8,0.0,97,60,71
393,1670991777.935,49.5,10.9,0.0,95,61,71
394,1670991807.964,49.7,10.9,0.0,95,64,71
395,1670991837.993,47.2,10.9,0.0,95,65,71
396,1670991868.022,47.1,10.9,0.0,96,59,71
397,1670991898.051,29.3,12.3,0.0,98,60,72
398,1670991928.08,26.9,14.4,0.0,95,59,72
399,1670991958.108,32.8,14.5,0.0,97,62,72
400,1670991988.139,32.7,14.5,0.0,92,57,71
401,1670992018.185,32.6,14.5,0.0,97,62,71
402,1670992048.204,30.6,12.9,0.0,95,63,71
403,1670992078.233,24.4,13.9,0.0,97,68,72
404,1670992108.267,31.8,14.6,0.0,95,65,71
405,1670992138.297,29.4,11.9,0.0,94,65,71
406,1670992168.332,24.4,12.9,0.0,95,65,71
407,1670992198.361,24.8,14.3,0.0,97,61,71
408,1670992228.389,29.0,16.0,0.0,95,63,71
409,1670992258.418,37.5,15.9,0.0,97,63,71
410,1670992288.446,37.9,16.5,0.0,97,60,71
411,1670992318.474,38.8,16.4,0.0,95,60,71
412,1670992348.503,39.7,16.6,0.0,94,59,70
413,1670992378.532,39.0,16.5,0.0,95,65,69
414,1670992408.561,38.8,16.4,0.0,94,61,68
415,1670992438.59,39.2,16.4,0.0,95,63,68
416,1670992468.618,37.8,16.6,0.0,96,63,69
417,1670992498.647,37.2,16.6,0.0,95,65,69
418,1670992528.676,36.8,16.6,0.0,95,63,68
419,1670992558.705,36.3,16.6,0.0,96,65,68
420,1670992588.734,36.9,16.8,0.0,96,63,68
421,1670992618.764,36.6,16.6,0.0,95,65,69
422,1670992648.792,36.1,16.8,0.0,92,61,69
423,1670992678.822,35.6,16.8,0.0,96,66,69
424,1670992708.851,20.6,14.4,0.0,98,64,71
425,1670992738.88,20.1,14.4,0.0,97,64,72
426,1670992768.909,20.4,14.4,0.0,97,69,72
427,1670992798.938,20.5,14.4,0.0,97,66,72
428,1670992828.974,20.4,14.4,0.0,96,65,72
429,1670992859.003,20.5,14.6,0.0,97,60,71
430,1670992889.032,19.9,14.4,0.0,99,61,71
431,1670992919.062,20.3,14.5,0.0,98,63,71
432,1670992949.091,22.0,14.3,0.0,95,65,72
433,1670992979.119,22.4,14.3,0.0,93,64,70
434,1670993009.148,21.9,14.3,0.0,95,61,72
435,1670993039.178,22.0,14.4,0.0,97,62,73
436,1670993069.215,24.9,16.5,0.0,95,63,73
437,1670993099.244,26.7,16.5,0.0,95,63,73
438,1670993129.273,25.4,16.7,0.0,98,67,72
439,1670993159.302,24.1,17.2,0.0,97,68,72
440,1670993189.331,24.1,17.3,0.0,98,70,72
441,1670993219.36,23.6,16.7,0.0,97,68,71
442,1670993249.4,22.6,16.8,0.0,98,69,71
443,1670993279.418,23.0,16.6,0.0,97,67,71
444,1670993309.456,22.0,16.7,0.0,98,69,71
445,1670993339.485,22.6,16.7,0.0,98,68,71
446,1670993369.514,20.8,16.6,0.0,96,65,71
447,1670993399.552,23.4,17.1,0.0,98,68,71
448,1670993429.585,22.7,16.9,0.0,97,66,70
449,1670993459.613,21.7,17.0,0.0,95,65,69
450,1670993489.642,21.8,17.0,0.0,96,66,69
451,1670993519.671,21.0,14.4,0.0,96,63,69
452,1670993549.7,15.7,14.4,0.0,96,64,71
453,1670993579.732,16.1,14.4,0.0,96,63,72
454,1670993609.761,16.2,15.9,0.0,95,65,72
455,1670993639.794,14.6,9.2,0.0,96,65,71
456,1670993669.825,28.8,9.2,0.0,97,60,71
457,1670993699.854,33.7,9.3,0.0,97,64,72
458,1670993729.883,33.8,9.3,0.0,96,64,73
459,1670993759.915,33.9,9.2,0.0,96,66,73
460,1670993789.945,33.7,9.2,0.0,98,68,73
461,1670993819.974,32.0,9.3,0.0,99,69,73
462,1670993850.012,31.8,9.3,0.0,22,15,69
463,1670993880.045,31.3,9.3,0.0,97,62,71
464,1670993910.074,31.6,9.3,0.0,97,60,72
465,1670993940.103,31.3,9.3,0.0,95,64,72
466,1670993970.132,31.2,9.3,0.0,98,69,72
467,1670994000.16,31.4,9.3,0.0,95,65,71
468,1670994030.199,31.3,9.3,0.0,97,61,72
469,1670994060.228,31.3,9.3,0.0,97,60,71
470,1670994090.257,31.2,9.3,0.0,97,64,72
471,1670994120.286,31.3,9.3,0.0,98,69,71
472,1670994150.314,31.3,9.3,0.0,96,66,72
473,1670994180.346,31.3,9.3,0.0,96,60,72
474,1670994210.377,31.3,9.3,0.0,98,63,72
475,1670994240.403,36.2,10.0,0.0,97,60,71
476,1670994270.433,88.1,13.7,0.0,95,64,71
477,1670994300.434,91.5,17.2,0.0,0,0,62
478,1670994330.464,89.6,21.0,0.0,73,41,60
