Unnamed: 0,Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
312,1670989730.731,85.4,15.0,0.0,93,60,63,0,0,25
313,1670989760.76,83.8,15.5,0.0,90,64,62,0,0,25
314,1670989790.78,85.8,15.6,0.0,94,66,63,0,0,25
315,1670989820.809,85.7,15.7,0.0,91,61,63,0,0,25
316,1670989850.838,85.5,15.8,0.0,92,65,62,0,0,25
317,1670989880.866,85.8,15.9,0.0,91,61,62,0,0,25
318,1670989910.895,84.6,16.0,0.0,94,62,63,0,0,25
319,1670989940.899,73.5,11.2,0.0,92,63,62,0,0,25
320,1670989970.928,54.5,12.9,0.0,91,57,62,0,0,25
321,1670990000.957,67.1,13.0,0.0,91,64,62,0,0,25
322,1670990030.986,84.4,13.1,0.0,96,68,62,0,0,25
323,1670990061.014,84.2,13.1,0.0,95,68,62,0,0,25
324,1670990091.043,84.4,13.2,0.0,93,63,62,0,0,25
325,1670990121.072,71.9,10.8,0.0,97,69,63,0,0,25
326,1670990151.078,68.0,10.8,0.0,92,64,63,0,0,25
327,1670990181.107,67.3,12.6,0.0,81,45,55,0,0,25
