Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C)
1670040145.436,7.4,35.4,0.0,87,48,73
1670040150.440,6.8,35.4,0.0,92,51,73
1670040155.446,6.8,35.4,0.0,92,51,73
1670040160.450,6.8,35.4,0.0,94,52,74
1670040165.454,6.8,35.4,0.0,93,51,73
1670040170.459,6.9,35.4,0.0,91,51,73
1670040175.463,6.7,35.4,0.0,93,50,73
1670040180.467,6.8,35.4,0.0,92,51,73
1670040185.471,6.7,35.4,0.0,91,51,73
1670040190.475,6.8,35.4,0.0,92,52,73
1670040195.479,6.9,35.4,0.0,89,49,73
1670040200.491,6.8,35.4,0.0,92,51,74
1670040205.495,6.7,35.4,0.0,87,49,74
1670040210.499,6.8,35.4,0.0,90,50,74
1670040215.503,6.7,35.4,0.0,92,51,74
1670040220.510,6.8,35.4,0.0,92,51,73
1670040225.514,7.2,35.4,0.0,89,49,73
1670040230.518,6.8,35.4,0.0,90,49,74
1670040235.522,8.4,35.5,0.0,92,50,73
1670040240.526,7.4,35.5,0.0,92,51,73
1670040245.530,6.7,35.5,0.0,91,51,73
1670040250.536,6.8,35.5,0.0,92,51,73
1670040255.544,6.8,35.4,0.0,92,49,72
1670040260.548,6.9,35.4,0.0,92,49,74
1670040265.556,6.7,35.4,0.0,15,8,71
1670040270.564,7.0,35.4,0.0,93,52,73
1670040275.572,7.8,35.4,0.0,93,52,73
1670040280.576,6.8,35.4,0.0,93,51,73
1670040285.580,7.4,35.4,0.0,93,51,73
1670040290.584,7.4,35.4,0.0,93,52,73
1670040295.590,6.8,35.4,0.0,93,51,74
1670040300.594,7.2,35.4,0.0,92,51,74
1670040305.598,7.5,35.4,0.0,92,50,74
1670040310.602,7.1,35.4,0.0,93,51,73
1670040315.606,7.1,35.4,0.0,89,50,74
1670040320.614,7.9,35.4,0.0,90,49,74
1670040325.618,7.3,35.4,0.0,93,52,73
1670040330.622,7.2,35.4,0.0,93,52,73
1670040335.630,7.8,35.5,0.0,93,50,73
1670040340.634,6.8,35.5,0.0,93,51,73
1670040345.642,6.8,35.5,0.0,93,52,73
1670040350.646,7.3,35.5,0.0,92,50,74
1670040355.650,7.3,35.4,0.0,88,49,73
1670040360.655,7.4,35.4,0.0,92,51,74
1670040365.659,6.7,35.4,0.0,93,50,73
1670040370.663,6.8,35.4,0.0,93,52,73
1670040375.678,6.9,35.4,0.0,93,52,74
1670040380.682,7.8,35.4,0.0,93,51,74
1670040385.686,6.7,35.4,0.0,88,49,73
1670040390.690,6.8,35.4,0.0,93,52,73
1670040395.694,6.7,35.4,0.0,92,51,73
1670040400.698,6.8,35.4,0.0,90,51,73
1670040405.702,6.8,35.4,0.0,92,51,73
1670040410.706,8.6,35.4,0.0,94,52,74
1670040415.713,8.1,35.5,0.0,93,51,73
1670040420.717,8.5,35.5,0.0,92,51,73
1670040425.722,8.4,35.5,0.0,93,52,74
1670040430.726,8.1,35.5,0.0,93,51,74
1670040435.737,7.1,35.5,0.0,93,51,73
1670040440.753,6.8,35.5,0.0,92,51,73
1670040445.764,6.8,35.5,0.0,91,50,73
1670040450.769,8.0,35.4,0.0,93,52,73
1670040455.781,7.7,35.5,0.0,93,52,74
1670040460.785,7.6,35.5,0.0,93,50,73
1670040465.789,7.1,35.5,0.0,93,51,73
1670040470.793,7.9,35.5,0.0,88,49,73
1670040475.797,8.1,35.5,0.0,90,49,74
1670040480.808,7.9,35.5,0.0,88,49,73
1670040485.813,7.4,35.5,0.0,92,51,73
1670040490.817,6.8,35.5,0.0,89,48,73
1670040495.821,6.8,35.5,0.0,92,51,73
1670040500.825,7.1,35.5,0.0,93,51,73
1670040505.829,8.1,35.5,0.0,90,50,73
1670040510.833,6.8,35.5,0.0,93,51,73
1670040515.837,8.1,35.5,0.0,90,50,73
1670040520.845,9.3,35.5,0.0,93,52,73
1670040525.849,8.4,35.5,0.0,92,51,73
1670040530.853,8.1,35.5,0.0,92,51,73
1670040535.857,7.7,35.5,0.0,89,49,73
1670040540.864,6.8,35.5,0.0,92,50,74
1670040545.868,6.8,35.5,0.0,93,51,74
1670040550.872,6.8,35.5,0.0,92,52,73
1670040555.876,7.7,35.5,0.0,91,49,74
1670040560.881,7.8,35.5,0.0,92,51,74
1670040565.888,7.3,35.5,0.0,91,51,73
1670040570.893,6.8,35.5,0.0,86,47,73
1670040575.897,6.7,35.5,0.0,92,51,73
1670040580.901,8.1,35.5,0.0,93,51,73
1670040585.906,8.9,35.5,0.0,93,52,73
1670040590.910,7.3,35.5,0.0,91,50,74
1670040595.914,6.7,35.5,0.0,93,51,74
1670040600.918,6.8,35.5,0.0,87,48,74
1670040605.922,6.8,35.5,0.0,93,52,74
1670040610.926,6.8,35.5,0.0,92,51,73
1670040615.930,7.6,35.4,0.0,93,51,73
1670040620.934,8.4,35.5,0.0,89,50,74
1670040625.938,7.8,35.5,0.0,92,51,73
1670040630.948,7.6,35.5,0.0,92,51,73
1670040635.952,8.5,35.5,0.0,93,51,73
1670040640.956,7.5,35.5,0.0,92,52,73
1670040645.960,7.3,35.5,0.0,90,49,73
1670040650.971,7.9,35.5,0.0,93,51,73
1670040655.975,7.9,35.5,0.0,91,51,74
1670040660.979,8.0,35.5,0.0,90,48,73
