Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C)
1670099461.826,6.6,7.8,0.0,94,52,75
1670099466.830,6.7,7.8,0.0,95,52,75
1670099471.838,7.1,7.8,0.0,95,52,75
1670099476.841,6.6,7.8,0.0,95,52,74
1670099481.845,6.6,7.8,0.0,95,53,74
1670099486.849,6.7,7.8,0.0,94,52,74
1670099491.853,6.6,7.8,0.0,95,53,74
1670099496.857,6.8,7.8,0.0,95,53,74
1670099501.866,6.6,7.8,0.0,94,52,74
1670099506.870,6.6,7.8,0.0,95,53,74
1670099511.874,6.7,7.8,0.0,95,53,75
1670099516.889,6.7,7.8,0.0,93,51,74
1670099521.882,6.6,7.8,0.0,95,52,74
1670099526.885,6.7,7.8,0.0,95,52,74
1670099531.889,6.7,7.8,0.0,95,52,74
1670099536.893,6.6,7.8,0.0,95,52,74
1670099541.897,6.7,7.8,0.0,94,49,74
1670099546.902,6.7,7.8,0.0,92,49,74
1670099551.906,6.6,7.8,0.0,93,50,74
1670099556.910,6.7,7.8,0.0,95,52,74
1670099561.914,6.7,7.8,0.0,95,52,74
1670099566.918,6.6,7.8,0.0,95,53,74
1670099571.922,6.7,7.8,0.0,95,53,74
1670099576.930,6.6,7.8,0.0,95,53,74
1670099581.934,6.6,7.8,0.0,95,53,74
1670099586.938,6.7,7.8,0.0,93,52,74
1670099591.943,6.8,7.8,0.0,92,52,74
1670099596.947,7.0,7.8,0.0,86,48,74
1670099601.951,8.6,7.8,0.0,93,52,74
1670099606.955,9.1,7.8,0.0,95,52,74
1670099611.959,9.1,7.8,0.0,95,53,74
1670099616.967,9.2,7.8,0.0,89,50,74
1670099621.971,9.0,7.8,0.0,95,52,74
1670099626.975,9.1,7.8,0.0,95,53,74
1670099631.979,9.1,7.8,0.0,95,53,74
1670099636.990,8.9,7.8,0.0,90,50,74
1670099641.994,9.0,7.8,0.0,90,50,74
1670099646.997,9.1,7.8,0.0,95,53,75
1670099652.001,9.0,7.8,0.0,95,52,74
1670099657.005,9.0,7.8,0.0,95,53,74
1670099662.016,9.1,7.8,0.0,94,52,74
1670099667.026,9.0,7.8,0.0,89,49,74
1670099672.038,9.0,7.8,0.0,95,52,74
1670099677.042,9.2,7.8,0.0,90,49,74
1670099682.057,9.1,7.8,0.0,95,53,74
1670099687.059,8.8,7.8,0.0,95,52,74
1670099692.063,9.2,7.8,0.0,94,52,74
1670099697.067,9.1,7.8,0.0,95,53,75
1670099702.080,8.8,7.8,0.0,95,53,74
1670099707.075,9.2,7.8,0.0,95,53,74
1670099712.089,9.1,7.8,0.0,95,53,74
1670099717.093,8.8,7.8,0.0,95,53,74
1670099722.099,9.1,7.8,0.0,95,52,74
1670099727.107,9.2,7.8,0.0,94,52,74
1670099732.111,8.8,7.8,0.0,94,52,74
1670099737.115,9.1,7.8,0.0,92,51,74
1670099742.125,9.1,7.8,0.0,90,50,74
1670099747.124,9.1,7.8,0.0,95,52,74
1670099752.128,8.9,7.8,0.0,95,53,74
1670099757.132,9.1,7.8,0.0,94,52,74
1670099762.136,9.0,7.8,0.0,92,51,74
1670099767.143,9.0,7.8,0.0,94,52,75
1670099772.147,9.5,7.8,0.0,95,52,74
1670099777.151,9.0,7.8,0.0,95,53,74
1670099782.155,9.0,7.8,0.0,94,52,74
1670099787.159,9.1,7.8,0.0,95,53,75
1670099792.164,9.0,7.8,0.0,94,52,75
1670099797.169,9.0,7.8,0.0,90,50,74
1670099802.173,9.1,7.8,0.0,94,53,74
1670099807.178,9.1,7.8,0.0,91,50,74
1670099812.183,9.1,7.8,0.0,90,50,74
1670099817.187,8.9,7.8,0.0,95,52,74
1670099822.191,9.1,7.8,0.0,89,49,74
1670099827.204,9.1,7.8,0.0,90,50,74
1670099832.211,8.9,7.8,0.0,90,50,74
1670099837.214,9.0,7.8,0.0,93,52,74
1670099842.219,9.2,7.8,0.0,95,52,74
1670099847.223,8.9,7.8,0.0,94,52,74
1670099852.231,9.0,7.8,0.0,91,50,74
1670099857.234,9.2,7.8,0.0,94,51,74
1670099862.238,8.9,7.8,0.0,91,49,74
1670099867.242,9.0,7.8,0.0,93,51,74
1670099872.246,9.1,7.8,0.0,92,50,74
1670099877.255,9.1,7.8,0.0,92,50,74
1670099882.270,8.9,7.9,0.0,89,48,74
1670099887.274,9.2,7.9,0.0,93,51,74
1670099892.270,9.0,7.9,0.0,92,50,74
1670099897.278,8.8,7.9,0.0,89,49,74
1670099902.300,9.2,7.9,0.0,91,50,74
1670099907.285,9.1,7.9,0.0,92,50,74
1670099912.289,8.8,7.9,0.0,93,51,74
1670099917.293,9.3,7.9,0.0,89,49,74
1670099922.297,9.1,7.9,0.0,94,53,75
1670099927.301,8.9,7.9,0.0,90,50,74
1670099932.305,9.1,7.9,0.0,92,52,74
1670099937.309,9.1,7.9,0.0,93,52,73
1670099942.313,9.1,7.9,0.0,95,52,74
1670099947.326,9.1,7.9,0.0,95,53,74
1670099952.331,9.1,7.9,0.0,90,50,74
1670099957.337,9.1,7.9,0.0,94,53,75
1670099962.341,8.9,7.9,0.0,94,52,74
1670099967.345,9.1,7.9,0.0,95,52,74
1670099972.349,9.0,7.9,0.0,89,49,74
1670099977.353,9.2,7.9,0.0,93,51,74
1670099982.357,9.0,7.9,0.0,95,52,74
1670099987.361,9.0,7.9,0.0,95,52,74
1670099992.365,8.9,7.9,0.0,87,48,74
1670099997.371,9.3,7.9,0.0,92,50,74
1670100002.373,9.1,7.9,0.0,95,53,74
1670100007.384,9.2,7.9,0.0,94,53,74
1670100012.389,8.8,7.9,0.0,93,52,74
1670100017.393,9.0,7.9,0.0,95,53,74
1670100022.397,9.2,7.9,0.0,94,53,75
1670100027.404,9.0,7.9,0.0,94,52,74
1670100032.408,9.0,7.9,0.0,95,53,74
1670100037.412,9.3,7.9,0.0,88,49,74
1670100042.416,8.9,7.9,0.0,95,52,74
1670100047.420,9.0,7.9,0.0,90,50,74
1670100052.423,9.1,7.9,0.0,95,52,74
1670100057.430,9.0,7.8,0.0,95,53,74
1670100062.434,9.0,7.9,0.0,95,52,74
1670100067.438,9.2,7.9,0.0,89,49,75
1670100072.442,9.4,7.9,0.0,94,52,75
1670100077.446,8.9,7.9,0.0,94,52,74
1670100082.455,9.2,7.9,0.0,94,51,75
1670100087.459,9.2,7.9,0.0,91,50,74
1670100092.463,8.9,7.9,0.0,93,51,75
1670100097.467,9.2,7.9,0.0,94,53,74
1670100102.471,9.1,7.9,0.0,95,53,74
1670100107.475,8.8,7.8,0.0,75,39,72
1670100112.479,9.1,7.8,0.0,89,47,74
1670100117.490,9.1,7.8,0.0,93,49,74
1670100122.494,8.8,7.8,0.0,92,50,74
1670100127.503,9.3,7.8,0.0,94,52,74
1670100132.507,9.0,7.8,0.0,95,52,74
1670100137.512,9.0,7.8,0.0,95,53,74
1670100142.516,8.9,7.8,0.0,90,50,74
1670100147.519,9.1,7.8,0.0,95,53,74
1670100152.523,9.1,7.8,0.0,95,53,74
1670100157.527,9.1,7.8,0.0,95,52,74
1670100162.531,9.0,7.8,0.0,95,52,74
1670100167.535,9.1,7.8,0.0,95,52,74
1670100172.539,8.9,7.8,0.0,90,50,74
1670100177.550,9.1,7.8,0.0,90,50,74
1670100182.553,9.0,7.8,0.0,95,53,74
1670100187.557,9.1,7.8,0.0,93,52,74
1670100192.566,9.0,7.8,0.0,93,52,74
1670100197.573,9.0,7.8,0.0,92,52,74
1670100202.577,9.1,7.8,0.0,93,52,74
1670100207.581,9.0,7.8,0.0,93,52,74
1670100212.592,9.0,7.8,0.0,93,52,74
1670100217.596,9.3,7.8,0.0,95,53,74
1670100222.600,8.8,7.8,0.0,91,51,74
1670100227.611,9.0,7.8,0.0,88,48,74
1670100232.615,9.1,7.8,0.0,95,53,74
1670100237.619,9.0,7.8,0.0,95,53,74
1670100242.626,9.0,7.8,0.0,91,51,74
1670100247.630,9.2,7.8,0.0,94,53,74
1670100252.634,8.9,7.8,0.0,92,52,74
1670100257.638,9.0,7.8,0.0,95,53,74
1670100262.642,9.1,7.8,0.0,91,51,74
1670100267.648,9.1,7.8,0.0,93,52,74
1670100272.653,8.8,7.8,0.0,92,52,74
1670100277.660,9.3,7.8,0.0,90,50,74
1670100282.664,9.0,7.8,0.0,95,53,74
1670100287.668,8.8,7.8,0.0,92,52,74
1670100292.672,9.1,7.8,0.0,91,51,74
1670100297.679,9.1,7.8,0.0,90,50,74
1670100302.683,8.9,7.8,0.0,94,53,74
1670100307.687,9.2,7.8,0.0,90,50,74
1670100312.691,9.0,7.8,0.0,94,53,74
1670100317.697,8.9,7.8,0.0,95,53,74
1670100322.709,9.2,7.8,0.0,95,53,74
1670100327.713,9.2,7.8,0.0,90,50,74
1670100332.716,9.0,7.8,0.0,95,53,74
1670100337.720,9.1,7.8,0.0,92,52,74
1670100342.723,9.1,7.8,0.0,95,53,74
1670100347.729,9.1,7.8,0.0,95,53,74
1670100352.733,8.9,7.8,0.0,89,50,74
1670100357.743,9.1,7.8,0.0,95,53,74
1670100362.747,9.0,7.8,0.0,94,52,74
1670100367.751,9.1,7.8,0.0,95,53,74
1670100372.755,9.4,7.8,0.0,95,53,74
1670100377.766,9.0,7.8,0.0,93,52,74
1670100382.770,8.9,7.8,0.0,91,49,74
1670100387.777,9.1,7.8,0.0,93,51,74
1670100392.781,9.0,7.8,0.0,94,51,74
1670100397.785,9.2,7.8,0.0,90,49,74
1670100402.789,8.9,7.8,0.0,94,53,74
1670100407.793,9.1,7.8,0.0,94,53,74
1670100412.801,9.1,7.9,0.0,95,53,74
1670100417.805,9.0,7.8,0.0,91,51,74
1670100422.809,9.0,7.9,0.0,95,53,74
1670100427.813,9.2,7.9,0.0,95,53,74
1670100432.817,8.9,7.9,0.0,85,47,74
1670100437.823,9.1,7.9,0.0,95,53,74
1670100442.835,9.1,7.9,0.0,87,48,74
1670100447.839,8.9,7.8,0.0,91,50,74
1670100452.843,6.6,7.8,0.0,93,52,74
1670100457.847,6.7,7.8,0.0,93,52,74
1670100462.850,6.6,7.8,0.0,92,52,74
