Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1670258351.831,6.5,8.2,0.0,48,12,64,21,9,59
1670258352.444,6.5,8.2,0.0,81,23,64,98,26,60
1670258356.835,6.6,8.2,0.0,24,10,64,12,1,59
1670258357.447,6.6,8.2,0.0,94,26,64,100,29,59
1670258361.839,6.5,8.2,0.0,75,19,65,40,13,60
1670258362.454,6.5,8.2,0.0,77,25,65,85,20,58
1670258366.845,6.5,8.2,0.0,100,28,64,93,23,59
1670258367.461,6.5,8.2,0.0,3,2,63,23,5,60
1670258371.848,6.7,8.2,0.0,71,21,64,100,21,58
1670258372.465,6.8,8.2,0.0,42,12,65,19,8,59
1670258376.853,6.6,8.2,0.0,33,9,63,67,13,58
1670258377.469,6.6,8.2,0.0,10,2,65,53,15,59
1670258381.861,6.5,8.2,0.0,4,2,65,19,4,59
1670258382.473,6.5,8.2,0.0,28,11,65,94,26,60
1670258386.866,6.7,8.2,0.0,25,5,64,42,14,59
1670258387.477,6.6,8.2,0.0,94,23,65,89,18,59
1670258391.870,6.5,8.2,0.0,68,18,65,99,27,60
1670258392.481,6.5,8.2,0.0,56,14,64,69,20,58
1670258396.873,6.5,8.2,0.0,100,27,64,74,22,58
1670258397.485,6.5,8.2,0.0,99,25,64,97,27,59
1670258401.877,6.7,8.2,0.0,8,1,65,24,10,59
1670258402.489,6.7,8.2,0.0,97,24,65,100,27,60
1670258406.881,6.6,8.2,0.0,99,25,66,100,29,59
1670258407.492,6.6,8.2,0.0,82,24,64,99,28,59
1670258411.884,6.5,8.2,0.0,100,28,64,53,15,59
1670258412.496,6.6,8.2,0.0,13,6,65,25,2,60
1670258416.898,6.8,8.2,0.0,35,9,65,30,11,60
1670258417.500,6.7,8.2,0.0,94,24,66,74,21,61
1670258421.910,6.5,8.2,0.0,66,18,66,28,11,60
1670258422.507,6.5,8.2,0.0,62,16,64,95,27,59
1670258426.913,6.5,8.2,0.0,100,27,64,95,23,59
1670258427.514,6.5,8.2,0.0,26,10,65,7,1,60
1670258431.919,6.7,8.2,0.0,23,5,64,57,7,59
1670258432.518,6.7,8.2,0.0,95,24,66,73,18,60
1670258436.923,6.6,8.2,0.0,63,17,66,44,15,61
1670258437.522,6.6,8.2,0.0,63,18,64,94,27,59
1670258441.927,6.5,8.2,0.0,97,26,65,98,24,59
1670258442.527,6.6,8.2,0.0,68,20,65,4,1,60
1670258446.933,6.6,8.2,0.0,13,2,65,48,10,60
1670258447.531,6.6,8.2,0.0,94,23,65,88,17,59
1670258451.938,6.5,8.2,0.0,94,27,65,100,26,60
1670258452.545,6.5,8.2,0.0,94,24,65,94,25,59
1670258456.942,6.5,8.2,0.0,90,25,65,99,26,60
1670258457.548,6.5,8.2,0.0,56,13,65,84,25,59
1670258461.945,6.7,8.2,0.0,21,9,66,75,22,60
1670258462.552,6.7,8.2,0.0,52,15,66,62,16,61
1670258466.949,6.7,8.2,0.0,31,12,66,73,19,60
1670258467.558,6.6,8.2,0.0,89,25,64,50,14,59
1670258471.953,6.5,8.2,0.0,88,25,65,80,24,60
1670258472.562,6.5,8.2,0.0,54,15,66,51,11,60
1670258476.957,6.6,8.2,0.0,44,12,66,26,10,60
1670258477.566,6.6,8.2,0.0,83,22,66,61,16,61
1670258481.961,6.5,8.2,0.0,64,17,66,99,26,61
1670258482.569,6.5,8.2,0.0,62,15,64,84,25,59
1670258486.966,6.5,8.2,0.0,85,23,64,8,1,59
1670258487.573,6.5,8.2,0.0,46,14,65,25,10,60
1670258491.970,6.7,8.2,0.0,23,10,65,2,0,60
1670258492.577,6.7,8.2,0.0,99,28,65,100,25,60
1670258496.974,6.6,8.2,0.0,100,26,65,93,23,60
1670258497.583,6.6,8.2,0.0,9,4,66,17,2,61
1670258501.977,6.5,8.2,0.0,23,5,65,45,11,61
1670258502.589,6.5,8.2,0.0,95,25,66,78,20,61
1670258506.982,6.6,8.2,0.0,87,25,65,100,28,60
1670258507.592,6.6,8.2,0.0,52,15,65,75,20,59
1670258511.985,6.5,8.2,0.0,82,23,65,99,27,59
1670258512.597,6.5,8.2,0.0,52,8,66,25,10,60
1670258516.990,6.6,8.2,0.0,25,10,66,94,24,60
1670258517.601,6.5,8.2,0.0,58,16,66,37,13,61
1670258521.994,6.7,8.2,0.0,100,26,67,94,22,61
